"ID del Registro Biológico Requerido","Ocurrence ID Required","occurrenceID","required"
"Base del Registro Requerido","Basis of Record Required","basisOfRecord","required"
"Modificado","Modified","modified","optional"
"Titular de los Derechos","Rights Holder","rightsHolder","optional"
"ID de la Institución","Institution ID","institutionID","optional"
"ID de la Colección","Collection ID","collectionID","optional"
"Código de la Institución Requerido","Institution Code Required","institutionCode","required"
"Código de la Colección Requerido","Collection Code Required","collectionCode","required"
"Nombre del Conjunto de Datos","Dataset Name","datasetName","optional"
"Número de Catálogo Requerido","Catalog Number Required","catalogNumber","required"
"Registrado por","Recorded By","recordedBy","optional"
"Conteo de Individuos","Individual Count","individualCount","optional"
"Sexo","Sex","sex","optional"
"Protocolo de Muestreo","Sampling Protocol","samplingProtocol","optional"
"Fecha del Evento","Event Date","eventDate","optional"
"Hora del Evento","Event Time","eventTime","optional"
"Hábitat","Habitat","habitat","optional"
"Número de Campo","Field Number","fieldNumber","optional"
"Comentarios del Evento","Event Remarks","eventRemarks","optional"
"Cuerpo de Agua","Water Body","waterBody","optional"
"País","Country","country","optional"
"Departamento","State Province","stateProvince","optional"
"Municipio","County","county","optional"
"Centro Poblado / Cabecera Municipal / Corregimiento / Inspección de Policía","Municipality","municipality","optional"
"Localidad","Locality","locality","optional"
"Elevación Mínima en metros","Minimum Elevation In Meters","minimumElevationInMeters","optional"
"Elevación Máxima en metros","Maximum Elevation In Meters","maximumElevationInMeters","optional"
"Profundidad Mínima en metros","Minimum Depth In Meters","minimumDepthInMeters","optional"
"Profundidad Máxima en metros","Maximum Depth In Meters","maximumDepthInMeters","optional"
"Latitud Decimal","Decimal Latitude","decimalLatitude","optional"
"Longitud Decimal","Decimal Longitude","decimalLongitude","optional"
"Datum Geodésico","Geodetic Datum","geodeticDatum","optional"
"Incertidumbre de las Coordenadas en metros","Coordinate Uncertainty In Meters","coordinateUncertaintyInMeters","optional"
"Precisión de las Coordenadas","Coordinate Precision","coordinatePrecision","optional"
"Identificado por","Identified By","identifiedBy","optional"
"Fecha de Identificación","Date Identified","dateIdentified","optional"
"Nombre Científico","Scientific Name","scientificName","optional"
"Reino","Kingdom","kingdom","optional"
"Filo","Phylum","phylum","optional"
"Clase","Class","class","optional"
"Orden","Order","order","optional"
"Familia","Family","family","optional"
"Género","Genus","genus","optional"
"Subgénero","Subgenus","subgenus","optional"
"Epíteto Específico","Specific Epithet","specificEpithet","optional"
"Epíteto Infraespecífico","Infraspecific Epithet","infraspecificEpithet","optional"
"Categoría del Taxón","Taxon Rank","taxonRank","optional"
"Autoría del Nombre Científico","Scientific Name Authorship","scientificNameAuthorship","optional"
"Nombre Común","Vernacular Name","vernacularName","optional"
